date_time,title,link,author,comments_amount,likes_amount
2021-02-18T00:52:39.326Z,Book Review: The Cult Of Smart,https://astralcodexten.substack.com/p/book-review-the-cult-of-smart,Scott Alexander,1133,338
2021-02-18T20:51:42.149Z,Highlights From The Comments On Cult Of Smart,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-cult,Scott Alexander,493,70
2021-02-20T02:12:02.450Z,Ezra Klein On Vetocracy,https://astralcodexten.substack.com/p/ezra-klein-on-vetocracy,Scott Alexander,444,95
2021-02-20T21:23:32.584Z,Movie Review: Gabriel Over The White House,https://astralcodexten.substack.com/p/movie-review-gabriel-over-the-white,Scott Alexander,130,120
2021-02-22T02:30:45.538Z,Open Thread 160,https://astralcodexten.substack.com/p/open-thread-160,Scott Alexander,455,30
2021-02-22T04:51:41.006Z,A Look Down Track B,https://astralcodexten.substack.com/p/a-look-down-track-b,Scott Alexander,70,59
2021-02-23T08:06:31.623Z,Mantic Monday: Judging April COVID Predictions,https://astralcodexten.substack.com/p/mantic-monday-judging-april-covid,Scott Alexander,182,63
2021-02-24T19:15:59.094Z,Book Review: Fussell On Class,https://astralcodexten.substack.com/p/book-review-fussell-on-class,Scott Alexander,854,200
2021-02-25T00:38:42.041Z,Hidden Open Thread 160.5,https://astralcodexten.substack.com/p/hidden-open-thread-1605,Scott Alexander,380,208
2021-02-25T21:42:10.109Z,"A Modest Proposal For Republicans: Use The Word ""Class""",https://astralcodexten.substack.com/p/a-modest-proposal-for-republicans,Scott Alexander,1627,507
2021-02-26T19:19:51.710Z,Bay Area Plant-Based Meat Reviews,https://astralcodexten.substack.com/p/bay-area-plant-based-meat-reviews,Scott Alexander,283,70
2021-02-28T18:37:44.077Z,Open Thread 161,https://astralcodexten.substack.com/p/open-thread-161,Scott Alexander,458,34
2021-03-01T21:41:13.815Z,Mantic Monday: Scoring Rule Controversy,https://astralcodexten.substack.com/p/mantic-monday-scoring-rule-controversy,Scott Alexander,152,46
2021-03-02T18:57:33.853Z,Shilling For Big Mitochondria,https://astralcodexten.substack.com/p/shilling-for-big-mitochondria,Scott Alexander,291,130
2021-03-03T23:27:15.854Z,Links For March,https://astralcodexten.substack.com/p/links-for-march,Scott Alexander,425,97
2021-03-04T20:23:17.607Z,Highlights From The Comments On March Links,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-march,Scott Alexander,176,56
2021-03-05T04:29:21.350Z,Hidden Open Thread 161.5,https://astralcodexten.substack.com/p/hidden-open-thread-1615,Scott Alexander,341,269
2021-03-05T21:51:02.989Z,Highlights From The Comments On Class,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-class,Scott Alexander,262,84
2021-03-06T21:05:19.023Z,They're Made Out Of Meta,https://astralcodexten.substack.com/p/theyre-made-out-of-meta,Scott Alexander,106,270
2021-03-07T09:07:10.132Z,Open Thread 162,https://astralcodexten.substack.com/p/open-thread-162,Scott Alexander,805,41
2021-03-09T04:43:43.655Z,The Consequences Of Radical Reform,https://astralcodexten.substack.com/p/the-consequences-of-radical-reform,Scott Alexander,704,179
2021-03-10T19:13:23.377Z,Trapped Priors As A Basic Problem Of Rationality,https://astralcodexten.substack.com/p/trapped-priors-as-a-basic-problem,Scott Alexander,650,240
2021-03-12T07:11:54.162Z,Hidden Open Thread 162.5,https://astralcodexten.substack.com/p/hidden-open-thread-1625,Scott Alexander,259,148
2021-03-12T21:12:43.188Z,Richard Nixon Vs. Cool,https://astralcodexten.substack.com/p/richard-nixon-vs-cool,Scott Alexander,247,135
2021-03-15T01:06:33.887Z,Open Thread 163,https://astralcodexten.substack.com/p/open-thread-163,Scott Alexander,453,62
2021-03-15T20:17:15.654Z,Mantic Monday: Mantic Matt Y,https://astralcodexten.substack.com/p/mantic-monday-mantic-matt-y,Scott Alexander,203,109
2021-03-16T20:18:01.287Z,Sleep Is The Mate Of Death,https://astralcodexten.substack.com/p/sleep-is-the-mate-of-death,Scott Alexander,257,145
2021-03-18T19:52:58.962Z,Book Review: The New Sultan,https://astralcodexten.substack.com/p/book-review-the-new-sultan,Scott Alexander,896,175
2021-03-19T23:51:02.318Z,Hidden Open Thread 163.5,https://astralcodexten.substack.com/p/hidden-open-thread-1635,Scott Alexander,326,166
2021-03-21T20:20:50.612Z,Open Thread 164,https://astralcodexten.substack.com/p/open-thread-164,Scott Alexander,673,30
2021-03-22T18:36:05.935Z,Adding My Data Point To The Discussion Of Substack Advances,https://astralcodexten.substack.com/p/adding-my-data-point-to-the-discussion,Scott Alexander,566,156
2021-03-23T22:34:51.395Z,Book Review: Antifragile,https://astralcodexten.substack.com/p/book-review-antifragile,Scott Alexander,491,132
2021-03-25T07:06:01.905Z,"More Antifragile, Diversity Libertarianism, And Corporate Censorship",https://astralcodexten.substack.com/p/more-antifragile-diversity-libertarianism,Scott Alexander,437,139
